id,nome,bairro,endereco,telefone,site
geo-bc1560a9,Barbearia e Tabacaria Tabaco e Tesoura,Copacabana,"Barbearia e Tabacaria Tabaco e Tesoura, Ladeira dos Tabajaras 143, Copacabana, Rio de Janeiro - RJ, 22031-071, Brazil",55 21 97539-3806,http://www.shoppingcidadecopacabana.com.br/comochegar.asp
geo-e3b0dd7d,PLURALL BARBEARIA,Ipanema,"PLURALL BARBEARIA, Rua Vinícius de Moraes, Ipanema, Rio de Janeiro - RJ, 22411-010, Brazil",021999327016,https://www.plurallbarbearia.com.br/
geo-8b4a4d34,Mr. Barber - Barbearia Tattoo e Piercing Ipanema,Ipanema,"Mr. Barber - Barbearia Tattoo e Piercing Ipanema, Rua Visconde de Pirajá 207, Ipanema, Rio de Janeiro - RJ, 22411-010, Brazil",+552134355129,
geo-e971bfd8,Don Ramiro Barber Club,Grajaú,"Don Ramiro Barber Club, Rua José Vicente 74, Grajaú, Rio de Janeiro - RJ, 20540-330, Brazil",+5521966236065,
geo-87614252,Barbearia de Ouro,Laranjeiras,"Barbearia de Ouro, Rua das Laranjeiras 122, Laranjeiras, Rio de Janeiro - RJ, 22240-000, Brazil",+55 21 3557 2555,https://www.barbeariadeouro.com.br/
geo-6141a15b,Hairnibal Barbearia e Cervejaria,Rocinha,"Hairnibal Barbershop and Beer Station, Estrada da Gávea 308, Rocinha, Rio de Janeiro - RJ, 22451-264, Brazil",,
geo-8f288ace,Barbearia do Portuga,Flamengo,"Barbearia do Portuga, Rua Corrêa Dutra 16A, Flamengo, Rio de Janeiro - RJ, 22210-050, Brazil",,
geo-4ddc0aa8,Rio Barber Beer,Vila Isabel,"Rio Barber Beer, Rua Barão de Mesquita 404, Vila Isabel, Rio de Janeiro - RJ, 20511-001, Brazil",,
geo-2c642931,Barberia BR,Copacabana,"Barberia BR, Avenida Nossa Senhora de Copacabana, Copacabana, Rio de Janeiro - RJ, 22020-050, Brazil",,
geo-7fedd0bd,barbearia duque,Ingá,"barbearia duque, Rua Doutor Nilo Peçanha lj 101, Ingá, Niterói - RJ, 24210-480, Brazil",5521988355794,
geo-f87c52dd,Barbearia do Kadim,Jacarepaguá,"Barbearia do Kadim, Rua Jericó 121, Jacarepaguá, Rio de Janeiro - RJ, 22775-903, Brazil",,
geo-ee48953c,Barbearia K & MK,Cidade de Deus,"Barbearia K & MK, Rua Jericó 192, Cidade de Deus, Rio de Janeiro - RJ, 22775-903, Brazil",,
geo-9e7728f8,Barbearia General,Laranjeiras,"Barbearia General, Rua General Cristóvão Barcelos, Laranjeiras, Rio de Janeiro - RJ, 22245-120, Brazil",,
geo-37bbaaed,Barbearia Colecionador,Centro,"Barbearia Colecionador, Rua do Senado 49 - Sobreloja, Centro, Rio de Janeiro - RJ, 20231-000, Brazil",,
geo-25cefc24,Barbearia do Pirro,Rio Comprido,"Barbearia do Pirro, Rua Barão de Petrópolis, Rio Comprido, Rio de Janeiro - RJ, 20251-140, Brazil",,
geo-b87d5b52,Barbearia Black & White,Centro,"Barbearia Black & White, Rua do Senado 84, Centro, Rio de Janeiro - RJ, 20231-000, Brazil",,
geo-5f626003,Barbearia Alvorada Express,Barra da Tijuca,"Barbearia Alvorada Express, Avenida das Américas, Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brazil",,
geo-1f35e800,Barbearia & etc,Jacarepaguá,"Barbearia & etc, Rua Xavier de Araújo, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-dc9c6a6a,Barbearia,Barra da Tijuca,"Barbearia, Avenida das Américas 6700, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,
geo-7896e13f,Barbearia Fama,Vargem Pequena,"Barbearia Fama, Rua Célio Fernandes dos Santos, Vargem Pequena, Rio de Janeiro - RJ, 22783-560, Brazil",,
geo-86c76313,Barbearia de primeira,Barra da Tijuca,"Barbearia de primeira, Avenida das Américas 6700, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,
geo-69eeff50,Barbearia Retrô,Flamengo,"Barbearia Retrô, Rua Marquês de Paraná, Flamengo, Rio de Janeiro - RJ, 22230-030, Brazil",,
geo-781720fc,Barbearia do Zé,Icaraí,"Barbearia do Zé, Rua Mem de Sá 151, Icaraí, Niterói - RJ, 24220-260, Brazil",,
geo-1baa544b,Barbearia Santo Cristo,Santo Cristo,"Barbearia Santo Cristo, Rua Santo Cristo 235 Loja A, Santo Cristo, Rio de Janeiro - RJ, 20220-302, Brazil",,
geo-931da7a8,Barbearia Mr Max,Jacarepaguá,"Barbearia Mr Max, Estrada dos Bandeirantes, Jacarepaguá, Rio de Janeiro - RJ, 22783-110, Brazil",,
geo-542cf8cd,Barbearia do Ed,Jacarepaguá,"Barbearia do Ed, Rua Chalé, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-463660b7,Barbearia Velhos do Rio,Jacarepaguá,"Barbearia Velhos do Rio, Estrada dos Bandeirantes 7967, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-60fc55a5,Barbearia da Telma,Jacarepaguá,"Barbearia da Telma, Rua Jerônimo Serqueira, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-2647e818,Barber Shop by Paulo Robert,Icaraí,"Barber Shop by Paulo Robert, Rua Presidente Backer, Icaraí, Niterói - RJ, 24230-062, Brazil",,
