id,nome,bairro,endereco,telefone,site
geo-24738d58,Barbearia e Tabacaria Tabaco e Tesoura,Copacabana,"Barbearia e Tabacaria Tabaco e Tesoura, Ladeira dos Tabajaras 143, Copacabana, Rio de Janeiro - RJ, 22031-071, Brazil",55 21 97539-3806,http://www.shoppingcidadecopacabana.com.br/comochegar.asp
geo-805d3844,Mais Depil,Taquara,"Mais Depil, Avenida dos Mananciais 835, Taquara, Rio de Janeiro - RJ, 22720-400, Brazil",+55 21 3456-3988; +55 21 99845-2600,http://www.maisdepil.com.br/
geo-10e03151,Los Muchachos Borrachos,Recreio dos Bandeirantes,"Los Muchachos Borrachos, Rua Antônio Maroun, Recreio dos Bandeirantes, Rio de Janeiro - RJ, 22790-710, Brazil",+55 21 37963940,www.losmuchachosborrachos.com.br
geo-4fb167f3,Não+Pelo,Flamengo,"Não+Pelo, Rua Senador Vergueiro 182, Flamengo, Rio de Janeiro - RJ, 22230-001, Brazil",+55 21 2552-3040,http://naomaispelo.com.br/unidades/rj/rio-de-janeiro/flamengo/
geo-e21dd811,Espaço Pérola's,Pechincha,"Espaço Pérola's, Estrada do Pau-Ferro 329, Pechincha, Rio de Janeiro - RJ, 22743-050, Brazil",+5521974662093,https://espacoperolasrj.negocio.site/
geo-b877c3ff,PLURALL BARBEARIA,Ipanema,"PLURALL BARBEARIA, Rua Vinícius de Moraes, Ipanema, Rio de Janeiro - RJ, 22411-010, Brazil",021999327016,https://www.plurallbarbearia.com.br/
geo-9e59bcce,Casablanca Hair Style,Botafogo,"Casablanca Hair Style, Rua Nelson Mandela 100 Loja 118, Botafogo, Rio de Janeiro - RJ, 22260-005, Brazil",+55-21-31716433,http://www.casablancahs.com.br/
geo-4f73f521,Beauty Center by Marize,Taquara,"Beauty Center by Marize, Avenida dos Mananciais 950, Taquara, Rio de Janeiro - RJ, 22720-410, Brazil",+55 21 2440-4349; +55 21 3594-1638,
geo-1769d4d2,Espaço Ellas,Taquara,"Espaço Ellas, Estrada do Rio Grande 1665, Taquara, Rio de Janeiro - RJ, 22720-010, Brazil",+55 21 2475-4525; +55 21 2456-1858,http://espacoellas.wix.com/espacoellas
geo-27f5f6d8,Spa Carioca,Centro,"Spa Carioca, Rua dos Inválidos 63, Centro, Rio de Janeiro - RJ, 20231-043, Brazil",+55 21 3852-4478;+55 21 2505-7132,
geo-e3edcb4c,Vitoria's,Centro,"Vitoria's, Rua dos Inválidos 18, Centro, Rio de Janeiro - RJ, 20231-012, Brazil",+55 21 2014-8097,
geo-870041d5,Studio Beauty Karine Lima,Jacarepaguá,"Studio Beauty Karine Lima, Rua Nova 3, Jacarepaguá, Rio de Janeiro - RJ, 22753-211, Brazil",(21) 97881-0968,
geo-ac964d4b,Blush Hair,Barra da Tijuca,"Blush Hair, Avenida Lúcio Costa 8000, Barra da Tijuca, Rio de Janeiro - RJ, 22795-006, Brazil",+55 (21) 2433-1078,
geo-ca42f6c6,Elsa Estheticién,Grajaú,"Elsa Estheticién, Avenida Engenheiro Richard 105, Grajaú, Rio de Janeiro - RJ, 20561-055, Brazil",+55 21 2578-1235,
geo-c959e93e,Studio Paloma Pinheiro,Centro,"Studio Paloma Pinheiro, Rua dos Inválidos 123, Centro, Rio de Janeiro - RJ, 20231-045, Brazil",+5521972789081,
