id,nome,bairro,endereco,telefone,site
geo-0b185fc7,Dra. Daniela Botti Meodentista,Barra da Tijuca,"Dra. Daniela Botti Meodentista, Praça do Chafariz Bloco 21 sala 315, Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brazil",55-21-996926413,https://linktr.ee/dradanielabotti
geo-8f334e2d,Dr Paulo R A Castro,Barra da Tijuca,"Dr Paulo R A Castro, Avenida das Américas 3333, Barra da Tijuca, Rio de Janeiro - RJ, 22631-003, Brazil",+55 21 9590 40238,https://www.odontomicroscopia.com.br/
geo-5e09f3b2,Moraes Odontologia Preventiva,Copacabana,"Moraes Odontologia Preventiva, Avenida Nossa Senhora de Copacabana 1052, Copacabana, Rio de Janeiro - RJ, 22060-000, Brazil",+55 21 97951 3372,https://www.moraesodonto.com.br/home/index.php
geo-63d7631b,SOI Dentistas,Taquara,"SOI Dentistas, Estrada do Rio Grande 1770, Taquara, Rio de Janeiro - RJ, 22720-011, Brazil",+55 21 2440-6664,http://leonardosoi.wix.com/1
geo-60c87e42,Clean Bucal,Taquara,"Clean Bucal, Rua Salinópolis 64, Taquara, Rio de Janeiro - RJ, 22720-000, Brazil",+55 21 2440-0380,
geo-b185b580,Consultório Dr. Victor Augusto,Vila Isabel,"Consultório Dr. Victor Augusto, Rua Barão de São Francisco 373, Vila Isabel, Rio de Janeiro - RJ, 20541-371, Brazil",+55 21 97132 2028,https://www.drvitoraugusto.com
geo-a944a8c3,Marcos Teixeira,Lagoa,"Marcos Teixeira, Rua José Joaquim Seabra, Lagoa, Rio de Janeiro - RJ, 22470-130, Brazil",+55-21-22593976,
geo-eb0382ba,Tijuca Odontologia,Tijuca,"Tijuca Odontologia, Rua Camaragibe 13, Tijuca, Rio de Janeiro - RJ, 20520-130, Brazil",,
geo-aa860459,Odontoclínica do Complexo Santos Dumont,Centro,"Odontoclínica do Complexo Santos Dumont, Avenida General Justo, Centro, Rio de Janeiro - RJ, 20021-200, Brazil",,
geo-b6417672,Túlio Régis Salomão & Gilberto Ranchini,Copacabana,"Túlio Régis Salomão & Gilberto Ranchini, Rua Barata Ribeiro 51, Copacabana, Rio de Janeiro - RJ, 22011-002, Brazil",,
geo-ae07171c,CJI Dentistas,Catete,"CJI Dentistas, Rua Silveira Martins 115A, Catete, Rio de Janeiro - RJ, 22221-000, Brazil",,
geo-acc38f5e,Diga X,Rio Comprido,"Diga X, Rua do Bispo 3, Rio Comprido, Rio de Janeiro - RJ, 20261-060, Brazil",,
geo-c1096a35,4ª Odontoclínica Militar Ten Cel Grey Caetano Coimbra,Rio Comprido,"4ª Odontoclínica Militar Ten Cel Grey Caetano Coimbra, Avenida Paulo de Frontin, Rio Comprido, Rio de Janeiro - RJ, 20261-243, Brazil",,
geo-0b74beb7,Diga X,Rio Comprido,"Diga X, Rua do Bispo 3, Rio Comprido, Rio de Janeiro - RJ, 20261-060, Brazil",,
geo-11b398c0,Cirurgiã Dentista Dra. Adelina Curzio,Riachuelo,"Cirurgiã Dentista Dra. Adelina Curzio, Rua Marechal Bittencourt 93, Riachuelo, Rio de Janeiro - RJ, 20950-200, Brazil",,
geo-85f07050,Apelbaum Odontologia Integrada,Maracanã,"Apelbaum Odontologia Integrada, Rua Mariz e Barros, Maracanã, Rio de Janeiro - RJ, 20271-280, Brazil",,
geo-38e6d929,CER,Botafogo,"CER, Rua Nelson Mandela 100 Lojas 119 e 120, Botafogo, Rio de Janeiro - RJ, 22260-005, Brazil",,
