id,nome,bairro,endereco,telefone,site
geo-6a3a9e8f,Copacabana Holiday,Copacabana,"Copacabana Holiday, Rua Barata Ribeiro 90, Copacabana, Rio de Janeiro - RJ, 22011-002, Brazil",+55-21-25421525,http://www.copacabanaholiday.com.br
geo-1c90f1a4,Styllus Imobiliária,Méier,"Styllus Imobiliária, Rua Manuela Barbosa, Méier, Rio de Janeiro - RJ, 20735-080, Brazil",+552135494949,https://www.styllusimobiliaria.com.br/
geo-999ebc10,Torres & Oliveira Consultoria Imobiliária Ltda,Centro,"Torres & Oliveira Consultoria Imobiliária Ltda, Avenida Almirante Barroso 81, Centro, Rio de Janeiro - RJ, 20031-004, Brazil",+55 21 98806 8466,
geo-379fec3f,Adak Imóveis,Centro,"Adak Imóveis, Avenida Nossa Senhora de Fátima 50-B, Centro, Rio de Janeiro - RJ, 20240-051, Brazil",,https://www.adakimoveis.com.br/
geo-7e8db693,Patrimóvel,Barra da Tijuca,"Patrimóvel, Avenida das Américas 4201, Barra da Tijuca, Rio de Janeiro - RJ, 22631-390, Brazil",,
geo-3bd05334,MJ Imóveis,Icaraí,"MJ Imóveis, Rua Presidente Backer, Icaraí, Niterói - RJ, 24220-045, Brazil",,
geo-8f2d9253,The City,Barra Olímpica,"The City, Avenida Engenheiro Carlos Carvalho, Barra Olímpica, Rio de Janeiro - RJ, 22775-020, Brazil",,
geo-a094745f,APSA Imóveis,Tijuca,"APSA Imóveis, Rua General Roca, Tijuca, Rio de Janeiro - RJ, 20521-070, Brazil",,
geo-a0464574,Palace Atlantica Imoveis,Copacabana,"Palace Atlantica Imoveis, Avenida Nossa Senhora de Copacabana 252, Copacabana, Rio de Janeiro - RJ, 22020-050, Brazil",,
geo-d722c2f9,PDG Vendas,Botafogo,"PDG Vendas, Rua Nelson Mandela 100 Loja 108, Botafogo, Rio de Janeiro - RJ, 22260-005, Brazil",,
geo-0d974ab0,Abas,Copacabana,"Abas, Rua Barata Ribeiro 54A, Copacabana, Rio de Janeiro - RJ, 22011-002, Brazil",,
geo-cb4b5026,Marcela Vila,Jacarepaguá,"Marcela Vila, Estrada dos Bandeirantes 7967, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-8ebf856c,NR Luz Imóveis,Vargem Pequena,"NR Luz Imóveis, Estrada dos Bandeirantes, Vargem Pequena, Rio de Janeiro - RJ, 22783-560, Brazil",,
geo-d81fd754,Barra Wind,Barra da Tijuca,"Barra Wind, Rua Ruy Porto, Barra da Tijuca, Rio de Janeiro - RJ, 22630-013, Brazil",,
geo-ffe56c96,Espaço Tegra,Barra Olímpica,"Espaço Tegra, Avenida Júlio de Sá Bierrenbach, Barra Olímpica, Rio de Janeiro - RJ, 22775-039, Brazil",,
geo-192d9778,LIG,Camorim,"LIG, Avenida Olof Palme 765, Camorim, Rio de Janeiro - RJ, 22783-127, Brazil",,
geo-27bce9d4,Carvalho Hosken S/A,Barra Olímpica,"Carvalho Hosken S/A, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,
geo-24a30d95,Riobens,Jacarepaguá,"Riobens, Estrada dos Bandeirantes, Jacarepaguá, Rio de Janeiro - RJ, 22780-085, Brazil",,
geo-413b2216,Lopes,Flamengo,"Lopes, Rua Senador Vergueiro, Flamengo, Rio de Janeiro - RJ, 22230-000, Brazil",,
geo-8cb30a55,Fernando & Fernandes,Flamengo,"Fernando & Fernandes, Rua Marquês de Abrantes, Flamengo, Rio de Janeiro - RJ, 22230-061, Brazil",,
geo-b3b47d8d,Privilégio Imóveis,Flamengo,"Privilégio Imóveis, Rua Marquês de Abrantes, Flamengo, Rio de Janeiro - RJ, 22230-061, Brazil",,
geo-8caebc70,Miguez Imobiliária,Tijuca,"Miguez Imobiliária, Rua Doutor Satamini, Tijuca, Rio de Janeiro - RJ, 20270-230, Brazil",,
geo-b387738d,Nova Época Imobiliária,Tijuca,"Nova Época Imobiliária, Rua Doutor Satamini, Tijuca, Rio de Janeiro - RJ, 20270-230, Brazil",,
geo-1248c2aa,Mais veloz,Laranjeiras,"Mais veloz, Rua Conde de Baependi, Laranjeiras, Rio de Janeiro - RJ, 22231-160, Brazil",,
geo-b2f89c3e,Dna,Flamengo,"Dna, Rua do Pinheiro 50, Flamengo, Rio de Janeiro - RJ, 22220-050, Brazil",,
geo-638f5c37,Nova época,Flamengo,"Nova época, Praia do Flamengo, Flamengo, Rio de Janeiro - RJ, 22210-070, Brazil",,
